Id,Description,Created at,Updated at,Latitude,Longitude,Short description,Site name [Sites],Latitude [Sites],Longitude [Sites],SOVEREIGN1,TERRITORY1,Notes
59,USA - Gulf of Mexico,6/17/16 7:12,5/24/17 4:47,25.304304,-90.065918, - ,"Alabama Alps Reef,Talus Block,Yellowtail Reef,Roughtongue Reef,Coral Tree Reef,Madison Swanson Reef,Unnamed site","29.254,29.321,29.45,29.439,29.487,29.187,25.304304","-88.339,-87.767,-87.592,-87.576,-86.139,-85.679,-90.065918",USA ,Gulf of Mexico,
60,USA - Continental Atlantic Ocean,6/17/16 7:12,10/27/23 18:21,35.235525,-75.476074, - ,"Cape Fear,Cape Fear,American Shoal","33.533,33.642,0.0","-77.417,-76.942,0.0",USA ,USA ,
61,USA - Continental Pacific Ocean,6/17/16 7:12,10/27/23 18:21,44.635437,-125.024414, - ,"Heceta Bank,Farnsworth Bank, Santa Catalina Island","44.033,33.385","-124.867,-118.506",USA ,USA ,
62,Vanuatu,6/17/16 7:12,6/17/16 7:12,-15.377,166.959, - ,"Espiritu Santo, Vanuatu",15.544,167.275,Vanuatu,Vanuatu,
63,Venezuela - Caribbean Sea,6/17/16 7:12,10/23/23 18:47,11.75,-64.417, - ,Los Hermanos,11.75,-64.417,Venezuela ,Venezuela ,
76,Poland,4/18/17 2:29,4/18/17 2:29,52.237049,21.017532, - ,,,,Poland,Poland,
77,Philippines,4/18/17 2:57,11/2/23 22:15,14.599512,120.984222, - ,"Unnamed site,Bauan (Batangas),Apo Reef","13.801,13.8025,12.8582","120.911,120.91125,120.8925",Philippines,Philippines,
78,São Tomé and Príncipe,4/18/17 2:59,4/18/17 2:59,0.33654,6.72732, - ,Lagoa Azul,0.409,6.608,Sao Tome and Principe,Sao Tome and Principe,
79,Brunei,4/18/17 3:00,4/18/17 3:00,4.535277,114.727669, - ,,,,Brunei,Brunei,
80,Papua New Guinea,5/24/17 4:50,5/10/18 1:33,-6.908,147.141, - ,Kimbe Bay,-5.3,150.124,Papua New Guinea,Papua New Guinea,
81,Israel - Mediterranean Sea,5/24/17 4:51,5/10/18 1:34,32.117,34.714, - ,,,,Israel ,Israel ,
82,Republic of Maldives,5/24/17 4:52,5/10/18 1:34,3.203,73.22, - ,,,,Maldives,Maldives,
83,Solomon Islands,5/24/17 4:53,5/10/18 1:35,-9.646,160.156, - ,Peava,-8.789,158.233,Solomon Islands,Solomon Islands,
84,Dominica,6/2/17 0:28,5/10/18 1:36,15.414,-61.37, - ,,,,Dominica,Dominica,
